Kurs|Thema|Frage|Hinweis_1|Hinweis_2|Antwort|Extra|Real_World_Case|Mnemonik|MC_Richtig|MC_Falsch1|MC_Falsch2|MC_Falsch3|Schlagwörter
Bachelor Professional IT|Virtualisierungs-Ansätze (Storage)|Wie unterscheiden sich <b>In-Band</b> und <b>Out-Band</b> Virtualisierung hinsichtlich der Führung von Daten- und Kontrollfluss?|Architektur-Pfad|Bottleneck-Frage|Der Unterschied liegt im Pfad:<br>1. <b>In-Band</b>: Daten- und Kontrollfluss laufen über den <b>selben Pfad</b>. Das System sitzt "mitten im Datenstrom" und leitet jeden IO weiter (Gefahr: Latenz/Flaschenhals).<br>2. <b>Out-Band</b>: Daten- und Kontrollfluss sind <b>getrennt</b>. Die Virtualisierung (Metadaten) erfolgt oft in Switches, die eigentlichen Nutzdaten fließen direkt zum Speicher.|In-Band ist oft einfacher zu implementieren (Appliance dazwischenschalten), aber schwerer zu skalieren. Out-Band ist performanter, da der "Verwalter" den Datenstrom nicht bremst, aber komplexer zu konfigurieren (Agenten nötig).|In-Band: Pförtner, der jedes Paket kontrolliert. Out-Band: Pförtner gibt nur den Wegweiser, Paket geht direkt durch.|In = Mitten drin, Out = Draußen|In-Band = Gleicher Pfad (alles durch das System); Out-Band = Getrennte Pfade (Split-Path).|In-Band nutzt WLAN, Out-Band nutzt Kabel.|Bei Out-Band laufen Daten und Kontrolle über denselben Pfad.|In-Band ist nur für Backups, Out-Band für Live-Daten.|Storage In-Band Out-Band Architektur Performance
Bachelor Professional IT|Storage-Management Szenario|Ein Unternehmen besitzt Storage-Systeme von drei verschiedenen Herstellern (EMC, NetApp, HP). Der Admin möchte diese isolierten Inseln zu einem einzigen, großen Speicherpool zusammenfassen, um Kapazitäten flexibel zwischen den Abteilungen zu verschieben. Welches Konzept ermöglicht dies?|Pooling|Silo-Auflösung|Die <b>Speicher-Virtualisierung</b>.<br>Sie schiebt sich als Abstraktionsschicht vor die physischen Geräte verschiedener Hersteller und präsentiert sie nach oben als einen homogenen <b>virtuellen Speicherpool</b>.|Dies verhindert "Storage-Silos" (wo System A voll ist und System B leer, aber man den Platz nicht nutzen kann). Die Software übernimmt die Zuweisung auf die physischen Medien im Hintergrund.|IBM SVC (SAN Volume Controller) ist ein klassisches Beispiel, das verschiedene Storage-Boxen "virtualisiert".|Virtualisierung = Ein Pool für alle|Speicher-Virtualisierung (Abstraktion der Hardware).|RAID 5 (Striping mit Parität).|Deduplizierung (Datenreduktion).|Physische Partitionierung (Hardware-Trennung).|Szenario Storage Pool Heterogen Virtualisierung
Bachelor Professional IT|Speicher-Virtualisierung|Was ist die primäre Funktion einer <b>Virtualisierungs-Appliance</b> im Storage-Umfeld und was ermöglicht sie dem Administrator?|Management-Ebene|Zentralisierung|Eine <b>Virtualisierungs-Appliance</b> (Hardware oder Software) ermöglicht die <b>zentrale Verwaltung aller Speicherbereiche</b>.<br>- Sie schaltet sich vor die physischen Speichergeräte.<br>- Funktion: Sie fasst verteilte Ressourcen zu einem Pool zusammen, den der Admin zentral steuern kann, ohne jede einzelne Festplatte anfassen zu müssen.|Ohne Appliance müssten Sie 10 verschiedene Storage-Boxen einzeln konfigurieren (Silos). Mit Appliance haben Sie *ein* Dashboard für Petabytes an Daten.|SVC (SAN Volume Controller) von IBM ist eine typische Appliance.|Appliance = Zentraler Manager|Zentrale Verwaltung aller Speicherbereiche (Pooling) als logische Einheit.|Sie dient nur als Virenscanner für Festplatten.|Sie ist ein passives Kabel zur Verbindung von Servern.|Sie ersetzt die Festplatten durch RAM-Bausteine.|Storage Virtualisierung Appliance Definition Management
Bachelor Professional IT|Hochverfügbarkeit (HA)|In welcher technischen Betriebsart wird eine Virtualisierungs-Appliance idealerweise ausgeführt, um Ausfallsicherheit zu garantieren, und welche zwei Modi sind dabei üblich?|Redundanz-Konzepte|Aktiv/Passiv vs. Aktiv/Aktiv|Sie wird als <b>Cluster</b> ausgeführt.<br>Zwei Hauptmodi:<br>1. <b>Failover-Cluster</b> (Aktiv/Passiv): Ein Knoten arbeitet, der andere springt nur bei Ausfall ein.<br>2. <b>Load-Balancing-Cluster</b> (Aktiv/Aktiv): Beide Knoten arbeiten und teilen sich die Last (höhere Performance).|Ein Storage-Controller darf niemals alleine sein. Fällt er aus, sind alle Daten unerreichbar (obwohl die Platten noch heil sind). Cluster verhindern diesen "Brain-Dead"-Zustand.|Fällt Node A aus, übernimmt Node B sofort die I/O-Anfragen (Failover).|Cluster = Teamarbeit|Als Cluster (Failover für Sicherheit oder Load-Balancing für Lastverteilung).|Als Standalone-Gerät (Einzelsystem).|Als Daisy-Chain (Reihenschaltung ohne Redundanz).|Als Peer-to-Peer Netzwerk (jeder mit jedem).|Cluster Failover Load-Balancing Hochverfügbarkeit
Bachelor Professional IT|RZ-Sicherheit & Planung|Ein Kunde fordert "maximale Sicherheit" gegen physische Katastrophen (z. B. Feuer) für seine Storage-Virtualisierung. Wie muss der Cluster räumlich und logisch konfiguriert sein?|Physischer Schutz|Metro-Cluster Prinzip|Die Lösung erfordert zwei Maßnahmen:<br>1. <b>Räumlich</b>: Verteilung der Cluster-Knoten auf <b>zwei getrennte Brandabschnitte</b> (oder Rechenzentren).<br>2. <b>Logisch</b>: Einsatz von <b>RAID 1 (Spiegelung)</b> über diese Distanz hinweg (Synchronspiegel).|Brennt es in Abschnitt A, läuft der Betrieb in Abschnitt B nahtlos weiter, da dort eine exakte 1:1 Kopie der Daten liegt und der dortige Cluster-Knoten übernimmt. Dies nennt man oft "Metro-Cluster".|Brandabschnitt A (Serverraum 1) <-> Glasfaser <-> Brandabschnitt B (Serverraum 2).|Getrennte Räume + RAID 1|Verteilung auf zwei Brandabschnitte + synchrone Spiegelung (RAID 1).|Alles in einem Rack, gesichert durch RAID 0.|Verteilung auf zwei Etagen im selben Brandabschnitt.|Nur Backup auf Bändern im Keller.|Sicherheit Brandabschnitt RAID1 Disaster-Recovery
Bachelor Professional IT|Desktop-Virtualisierung (VDI)|Worin liegt der entscheidende architektonische Unterschied zwischen <b>VDI (Virtual Desktop Infrastructure)</b> und <b>SBC (Server Based Computing)</b> in Bezug auf das Betriebssystem?|1:1 vs. 1:N|Isolation|Der Unterschied ist das Verhältnis User-zu-OS:<br>1. <b>VDI</b>: Jeder User hat seine <b>eigene virtuelle Maschine</b> (z. B. Windows 11). Probleme (Blue Screen) betreffen nur diesen einen User.<br>2. <b>SBC (Terminal Server)</b>: Viele User arbeiten gleichzeitig auf <b>demselben Server-Betriebssystem</b>. Ein Absturz reißt alle mit.|VDI bietet die maximale Isolation und Performance (da Ressourcen nicht dynamisch geteilt werden müssen wie bei SBC). Dafür ist der Speicherbedarf riesig (100 User = 100 Windows-Installationen).|SBC ist der Bus (alle in einem Fahrzeug), VDI ist die Taxi-Flotte (jeder im eigenen Auto).|VDI = Eigener PC im RZ|VDI = 1 User pro OS (Iso); SBC = Viele User auf 1 Server-OS (Shared).|Bei VDI teilen sich alle User ein Server-OS; bei SBC hat jeder sein eigenes.|VDI läuft nur lokal auf dem PC; SBC läuft im Rechenzentrum.|Es gibt keinen Unterschied, beides sind Terminal-Server.|VDI SBC Architektur Vergleich Terminalserver
Bachelor Professional IT|VDI-Komponenten|Welche zentrale Funktion erfüllt der <b>Connection Broker</b> in einer VDI-Umgebung und warum wird er als "Schwäche" (Kostenfaktor) gelistet?|Verkehrspolizist|Management-Layer|Der <b>Connection Broker</b> ist die Schaltzentrale.<br>- Funktion: Er authentifiziert den User und <b>weist ihm eine freie VM</b> aus dem Pool zu (oder verbindet ihn mit "seinem" festen Desktop).<br>- Schwäche: Es ist eine komplexe, <b>teure Zusatzsoftware</b> (Lizenzkosten), die hochverfügbar ausgelegt sein muss.|Ohne Broker weiß der Thin Client nicht, mit welcher der 500 VMs er sich verbinden soll. Fällt der Broker aus, kann sich niemand anmelden (SPoF).|Citrix StoreFront oder VMware Horizon Connection Server.|Broker = Vermittler|Er vermittelt den User zur richtigen VM (Zuweisung/Authentifizierung).|Er dient als Virenscanner für die virtuellen Desktops.|Er ist nur ein physisches Kabel.|Er speichert die Backups der User-Daten.|VDI Connection-Broker Infrastruktur Management
Bachelor Professional IT|Einsatzszenarien VDI|Eine Ingenieurs-Abteilung benötigt CAD-Software mit hoher 3D-Leistung. Die IT-Leitung entscheidet sich gegen Terminal-Server (SBC) und für <b>VDI</b>. Welches technische Argument ist hier ausschlaggebend?|Performance-Hunger|GPU-Support|Für CAD ist <b>VDI</b> zwingend, wegen:<br>1. <b>Dedizierter Performance</b>: Man kann einer VM eine echte Grafikkarte (vGPU/Passthrough) fest zuweisen.<br>2. <b>Kompatibilität</b>: CAD-Software ist oft nur für Workstation-OS (Win 10/11) zertifiziert, nicht für Server-OS (SBC).|SBC (Terminal Server) teilt CPU/GPU unter allen Nutzern auf. Wenn einer rendert, steht bei den anderen das Bild. VDI garantiert die Leistung.|AutoCAD oder Adobe Premiere benötigen VDI für flüssiges Arbeiten.|CAD braucht Power = VDI|Dedizierte Ressourcen (GPU-Passthrough) und volle Software-Kompatibilität.|VDI ist billiger in der Anschaffung.|SBC unterstützt keine Maus-Eingaben.|VDI verbraucht weniger Strom im Rechenzentrum.|Szenario CAD VDI GPU Performance
Bachelor Professional IT|Netzwerk-Virtualisierung|Was ist der entscheidende administrative Vorteil der <b>Netzwerk-Virtualisierung</b> (z. B. VLANs) gegenüber einer rein physischen Segmentierung?|Logik vs. Physik|Flexibilität|Der Vorteil ist die <b>Entkopplung von der Physik</b>.<br>- Man kann Ressourcen (z. B. VLANs) logisch gruppieren, optimieren und sichern, <b>ohne die physische Verkabelung ändern zu müssen</b>.<br>- Ein Umzug einer Abteilung erfordert kein Umstecken im Verteilerschrank, sondern nur eine Software-Konfiguration am Port.|Früher musste man für ein getrenntes "Buchhaltungs-Netz" eigene Switches kaufen und Kabel ziehen. Heute konfiguriert man VLAN 10 auf dem vorhandenen Switch.|Abteilung zieht um -> Nur VLAN-ID am Switch-Port ändern.|VLAN = Logisches Kabel|Optimierung von Sicherheit/Struktur ohne Änderung der physischen Verkabelung.|Die Datenübertragungsrate verdoppelt sich automatisch.|Man benötigt keine Switches mehr, nur noch Hubs.|Es erhöht den Stromverbrauch der Router.|VLAN Netzwerk Virtualisierung Administration
Bachelor Professional IT|Anwendungs-Virtualisierung|Wie unterscheiden sich <b>Lokale Anwendungs-Virtualisierung</b> und <b>Serverbasierte Anwendungs-Virtualisierung</b> hinsichtlich des <b>Ortes der Ausführung</b> (Rechenlast)?|Wo raucht der Kopf?|Client vs. Server|Der Unterschied liegt in der <b>CPU-Last</b>:<br>1. <b>Lokal</b>: Die Anwendung läuft auf dem <b>Endpunkt (Client)</b> in einer isolierten Blase (Sandbox). Der Client braucht Rechenleistung.<br>2. <b>Serverbasiert</b>: Die Anwendung läuft komplett auf dem <b>Server</b>. Nur das UI (Bild) wird übertragen. Der Client kann "dumm" sein.|Wichtig für die Beschaffung: Bei lokaler App-Virti (z. B. MS App-V) brauchen Sie starke PCs. Bei serverbasierter (z. B. Citrix XenApp) reichen Thin Clients, aber Sie brauchen starke Server.|Lokal: Sandbox auf dem PC. Server: Fernsteuerung.|Lokal = Client-Last, Server = Server-Last|Lokal = Client-CPU (Isoliert); Serverbasiert = Server-CPU (nur Bildübertragung).|Beide laufen immer auf dem Server.|Lokal läuft im Browser, Serverbasiert auf dem Handy.|Lokal benötigt keine CPU, Serverbasiert benötigt GPU.|App-V SBC Architektur Sizing
Bachelor Professional IT|Software-Verteilung|Ein Unternehmen möchte eine riesige Software-Suite bereitstellen. Um Speicherplatz auf den Laptops zu sparen, sollen <b>Programmkomponenten nur bei tatsächlichem Bedarf</b> vom Server zum Client übertragen werden. Welche Technologie beschreibt dies?|Just-in-Time Delivery|Häppchen-Weise|<b>Anwendungs-Streaming</b>.<br>- Prinzip: Der Server sendet <b>Programmkomponenten (Code-Blöcke)</b> erst dann, wenn der User sie anklickt/benötigt.<br>- Vorteil: Die App startet sofort (nur der Core wird geladen), ohne dass Gigabytes installiert werden müssen.|Vergleichbar mit Netflix: Man schaut den Film (nutzt die App), während der Rest noch lädt. Das spart massiv Speicherplatz auf dem Client und Bandbreite beim Rollout.|Starten von Word dauert Sekunden, obwohl die Rechtschreibprüfung noch gar nicht heruntergeladen ist.|Streaming = Laden bei Bedarf|Anwendungs-Streaming.|VPN (Virtual Private Network).|Lokale Installation per MSI-Paket.|RAID 5 Spiegelung.|Streaming Software Deployment App-V
Bachelor Professional IT|Container Technologie|Was beinhaltet eine <b>Container-Einheit</b> technisch gesehen und welches fundamentale Problem der Softwareverteilung wird durch diese Kapselung gelöst?|Portabilität|Alles dabei|Ein Container verpackt den <b>Anwendungscode inklusive aller Bibliotheken und Abhängigkeiten</b> (Binaries, Configs).<br>- Lösung: Er eliminiert das "Works on my machine"-Problem. Da alles Nötige im Container ist, läuft er überall gleich (Dev, Test, Prod), unabhängig vom darunterliegenden System.|Im Gegensatz zur VM fehlt hier das eigene Betriebssystem. Der Container ist nur ein "Prozess mit Gepäck". Das macht ihn extrem portabel.|Docker-Image enthält Java-App + JRE + Configs.|Container = App + Libs (All-in-One)|Anwendungscode + Bibliotheken/Abhängigkeiten; löst Kompatibilitätsprobleme.|Nur den reinen Quellcode ohne Compiler.|Ein komplettes Gast-Betriebssystem inklusive Kernel.|Nur die Datenbank-Treiber.|Container Definition Docker Deployment
Bachelor Professional IT|Container-Architektur|Auf welcher technischen Basis realisieren Container ihre Isolation, ohne einen Hypervisor zu benötigen?|Shared Kernel|Namespaces & Cgroups|Sie nutzen die <b>Betriebssystem-Virtualisierung</b>.<br>- Spezifische <b>Kernel-Funktionen</b> (wie <b>Namespaces</b> für die Sichtbarkeit und Cgroups für Ressourcen) isolieren die Prozesse voneinander.<br>- Alle Container teilen sich den Kernel des Host-Betriebssystems.|Das ist der entscheidende Unterschied zur VM: Kein Hypervisor, kein Overhead durch Gast-OS-Starts. Ein Container ist für den Kernel nur ein isolierter Prozess.|Linux Namespaces sorgen dafür, dass Prozess A den Prozess B nicht "sieht".|Container = Shared Kernel|Durch Betriebssystem-Virtualisierung (Kernel-Funktionen wie Namespaces).|Durch physische Partitionierung der Festplatte.|Durch Emulation einer kompletten CPU.|Durch Nutzung eines Typ-2 Hypervisors.|Container Virtualisierung Kernel Namespaces
Bachelor Professional IT|Cloud-Native Strategie|Ein Unternehmen entwickelt eine Microservices-Architektur mit hunderten kleinen Services. Warum sind <b>Container</b> hierfür laut Definition besser geeignet als klassische <b>VMs</b>?|Dichte & Speed|Leichtgewicht|Container sind <b>ressourceneffizienter und mobiler</b>.<br>- Grund: Da sie kein eigenes OS mitschleppen (kein RAM/CPU für Leerlauf des Gast-OS), können auf einem Server hunderte Container laufen, wo früher nur dutzende VMs passten.<br>- Dies ist der Standard für <b>cloudnative Anwendungen</b> (Skalierbarkeit).|Startzeit VM: Minuten. Startzeit Container: Millisekunden. Bei Microservices, die schnell skalieren müssen (z. B. Black Friday im Shop), ist das entscheidend.|Kubernetes orchestriert tausende Container effizienter als eine VM-Farm.|Container = Effizienz-Champion|Wegen höherer Ressourceneffizienz (kein OS-Overhead) und Mobilität.|Weil Container eine grafische Oberfläche für den User bieten.|Weil VMs keine Netzwerkverbindung erlauben.|Weil Container teurer sind und mehr Umsatz generieren.|Szenario Microservices Cloud Container VM-Vergleich
Bachelor Professional IT|Datensicherung (Backup)|Was ist die exakte Definition einer <b>Datensicherung (Backup)</b> und welches primäre zeitliche Ziel verfolgt sie im IT-Betrieb?|Lebensversicherung|Kopie & Restore|Datensicherung ist das <b>Kopieren von Daten</b> mit dem Ziel, diese im Falle eines Datenverlusts <b>wiederherstellen</b> zu können.<br>- Schutz vor: Technischem Versagen, Löschen oder Manipulation.<br>- Ziel: Die <b>kurzfristige Wiederaufnahme</b> des IT-Betriebs (Business Continuity).|Abgrenzung: Ein Backup ist eine Kopie (Redundanz). Ein Archiv ist oft eine Verschiebung (Original weg, Kopie im Archiv). RAID schützt vor Hardware-Ausfall, aber nicht vor Löschung (User-Fehler).|Täglich um 22 Uhr wird der Dateiserver auf ein Tape kopiert.|Backup = Kopie für Notfall|Kopieren von Daten zur Wiederherstellung; Ziel: Kurzfristige Wiederaufnahme des Betriebs.|Verschieben von Daten zur Entlastung des Speichers (Langzeit).|Spiegelung von Festplatten für den laufenden Betrieb (RAID).|Löschen von nicht mehr benötigten Dateien.|Backup Definition Restore Verfügbarkeit
Bachelor Professional IT|Backup-Strategien|Wie unterscheiden sich die <b>Sicherung einzelner Dateien</b> und das <b>Disaster Recovery</b> hinsichtlich ihres Wiederherstellungs-Umfangs?|Granularität|Teil vs. Ganzes|Der Unterschied liegt im Scope:<br>1. <b>Einzelsicherung</b>: Sichert selektiv Nutzerdaten (z. B. Excel-Tabellen). Wiederherstellung einzelner Elemente möglich.<br>2. <b>Disaster Recovery</b>: Zielt auf die <b>Wiederherstellung des Gesamtzustands</b>. Dies umfasst Betriebssystem, Konfigurationen, Anwendungen und Daten, um nach einem Totalausfall (z. B. Brand) den Server komplett neu aufzubauen.|Disaster Recovery ist komplexer (Image-Backups, Bare-Metal-Restore), aber notwendig, wenn die Hardware getauscht wurde und das OS neu muss. Einzelsicherung hilft, wenn "Frau Müller" versehentlich einen Ordner löscht.|Bare-Metal-Restore des Exchange-Servers (DR) vs. Rücksichern einer gelöschten Mail (Single Item).|DR = Alles zurück auf Start|Einzeldateien = Selektiv; Disaster Recovery = Gesamtzustand (OS + Apps + Daten).|Beide sichern nur Word-Dokumente.|Einzeldateien für Server, Disaster Recovery für Laptops.|Disaster Recovery löscht Daten, Dateisicherung speichert sie.|Backup Disaster-Recovery Strategie Restore
Bachelor Professional IT|Schutzziele & Grenzen|Ein Mitarbeiter löscht versehentlich einen kritischen Projektordner, und zeitgleich verschlüsselt ein Virus (Ransomware) Teile der Festplatte. Warum hilft hier ein <b>RAID-System</b> (Spiegelung) nicht, sondern nur ein <b>Backup</b>?|Logischer Fehler vs. Physik|RAID ist kein Backup|Ein RAID-System spiegelt Daten in Echtzeit zur Erhöhung der Verfügbarkeit bei Hardware-Ausfall.<br>- Problem: Es spiegelt auch <b>logische Fehler</b> (Löschung, Viren) sofort auf die zweite Platte.<br>- Nur ein <b>Backup</b> (Offline-Kopie zu einem früheren Zeitpunkt) ermöglicht den Sprung zurück vor den Fehler.|Dieser Merksatz ist prüfungsentscheidend: "RAID erhöht die Verfügbarkeit, Backup sichert die Datenintegrität/Wiederherstellung."|Virus verschlüsselt Platte 1 -> RAID verschlüsselt sofort Platte 2. Daten weg. Backup vom Vortag -> Daten da.|Backup > RAID bei Logik-Fehlern|Weil RAID den Fehler (Löschung/Verschlüsselung) sofort auf die Spiegelplatte schreibt.|Weil RAID nur nachts läuft.|Weil RAID nur vor Feuer schützt.|Weil RAID Daten komprimiert und unlesbar macht.|Szenario RAID Backup Ransomware Sicherheit
Bachelor Professional IT|Datensicherung|Wie unterscheiden sich die Konzepte der Vollsicherung (Full Backup) und der Image-Datensicherung in Bezug auf Technik und Wiederherstellung?|Logische vs. Physikalische Sicherung|Dateisystem vs. Sektorkopie|Die <b>Vollsicherung</b> kopiert alle ausgewählten <b>logischen Dateien</b> eines Systems. Die <b>Image-Sicherung</b> erstellt ein exaktes Abbild der <b>physikalischen Sektoren</b>.<br>- Vollsicherung: Einfaches Handling einzelner Dateien.<br>- Image: Extrem schnelle Wiederherstellung ganzer Systeme (Bare Metal).|Image-Sicherungen sind essenziell für das Disaster Recovery, da sie Boot-Sektoren und Systemkonfigurationen mitsichern. Vollsicherungen sind flexibler bei der granularen Wiederherstellung (Single Item Restore) auf unterschiedlicher Hardware.|Wiederherstellung eines kompletten Webservers nach Ransomware-Befall mittels Image vs. Rücksicherung eines gelöschten PDF-Dokuments aus der Vollsicherung.|Voll = Datei-Fokus, Image = Sektor-Spiegel|Vollsicherung basiert auf logischen Dateien; Image auf physikalischen Sektoren des Datenträgers.|Ein Image sichert nur geänderte Dateien seit der letzten Vollsicherung.|Die Vollsicherung arbeitet sektororientiert, das Image dateiorientiert.|Beide Methoden benötigen für die Wiederherstellung zwingend ein inkrementelles Backup.|Backup Datensicherung Recovery BSI-Grundschutz IT-Betrieb
Bachelor Professional IT|Datensicherung|Erläutern Sie den technischen Unterschied zwischen einem differentiellen und einem inkrementellen Backup-Verfahren hinsichtlich der Referenzpunkte?|Referenzpunkt der Sicherung|Zuwachs vs. Kumulation|Das <b>differentielle Backup</b> sichert alle Änderungen seit dem <b>letzten Vollbackup</b> (wachsendes Delta). Das <b>inkrementelle Backup</b> sichert nur die Änderungen seit der <b>letzten inkrementellen Sicherung</b> (kleine Fragmente).|Differentiell: Höherer Speicherbedarf, schnellere Rücksicherung (Vollbackup + 1 Diff-Band). Inkrementell: Minimaler Speicherbedarf, langsame/riskante Rücksicherung (Vollbackup + alle Inkremente in korrekter Kette).|Wahl eines inkrementellen Backups bei schmaler Bandbreite zur Außenstelle vs. differentielles Backup für kritische Datenbanken mit Fokus auf RTO.|Diff = Zurück zum Start (Voll), Inkr = Schritt für Schritt (Kette)|Differentiell referenziert das letzte Vollbackup; Inkrementell die jeweils letzte (Teil-)Sicherung.|Inkrementelle Backups sichern immer alle Änderungen seit der letzten Vollsicherung.|Differentiell bezieht sich auf das letzte inkrementelle Band.|Beide Verfahren setzen das Archiv-Bit niemals zurück.|Backup Inkrementell Differentiell Speicherstrategie RTO RPO
Bachelor Professional IT|Datensicherung|Ein Unternehmen fordert eine Reduzierung der Wiederherstellungszeit (RTO) nach einem Systemausfall am Freitag. Bisher wurde täglich inkrementell gesichert. Welche Änderung der Strategie ist ratsam?|Recovery Time Objective (RTO) optimieren|Anzahl der Backup-Medien reduzieren|Ein Wechsel auf <b>differentielle Sicherung</b> verkürzt die RTO, da im Ernstfall nur das <b>letzte Vollbackup</b> und das <b>letzte differentielle Medium</b> eingespielt werden müssen.<br>- Vorteil: Weniger Handling-Fehler.<br>- Nachteil: Längeres Zeitfenster für die tägliche Sicherung am Donnerstag/Freitag.|Die RTO (Recovery Time Objective) ist bei inkrementellen Ketten hoch, da bei einem Ausfall am Freitag das Vollbackup (Mo) + Inkr (Di, Mi, Do) benötigt werden. Jedes Medium steigert das Ausfallrisiko. Differentiell benötigt immer nur zwei Schritte.|Ein Admin muss 5 Bänder suchen (Inkrementell) vs. nur 2 Bänder (Differentiell) für den Restore am Freitagabend.|Inkrementell = Viele Glieder (Kette), Differentiell = Zwei Teile (Paar)|Umstellung auf differentielle Sicherung, um die Anzahl der einzuspielenden Medien zu minimieren.|Umstellung auf tägliche Image-Sicherungen ohne Vollsicherung.|Wechsel auf ausschließlich inkrementelle Sicherungen ohne Vollbackup.|Erhöhung der Bandlaufgeschwindigkeit bei gleichbleibender Strategie.|IT-Management RTO Backup-Strategie Disaster-Recovery Business-Continuity
Bachelor Professional IT|Datensicherungsmethoden|Was ist das definierende technische Merkmal von <b>Continuous Data Protection (CDP)</b> im Vergleich zu einem klassischen, täglichen inkrementellen Backup?|Zeitstrahl vs. Zeitpunkt|Journaling|CDP speichert <b>kontinuierlich jede einzelne Datenveränderung</b> (jeden Schreibvorgang) in einem Journal/Log.<br>- Unterschied: Ein klassisches Backup erzeugt statische Punkte (z. B. jede Nacht). CDP erzeugt einen lückenlosen Film der Datenhistorie.<br>- Ergebnis: Man kann zu <b>jedem beliebigen Zeitpunkt</b> in der Vergangenheit zurückkehren.|CDP ist wie die "Rückgängig"-Taste (STRG+Z) in Word, aber für den gesamten Server. Klassisches Backup ist wie "Speichern unter" einmal am Tag.|CDP = Videorekorder, Backup = Fotoalbum|Kontinuierliche Speicherung aller Änderungen; Rückkehr zu *jedem* Zeitpunkt.|Es komprimiert Daten stärker, um Speicher zu sparen.|Es sichert Daten nur, wenn der Server heruntergefahren ist.|Es erstellt einmal pro Stunde einen Wiederherstellungspunkt.|CDP Backup Definition RPO Recovery
Bachelor Professional IT|Disaster Recovery Kennzahlen|Welchen konkreten Einfluss hat der Einsatz von CDP auf die Kennzahl <b>RPO (Recovery Point Objective)</b> – also den maximal tolerierbaren Datenverlust?|Datenverlust-Minimierung|Near-Zero Data Loss|Durch CDP geht der <b>RPO gegen Null</b>.<br>- Begründung: Da jede Transaktion sofort protokolliert wird, gehen im Ernstfall nur die Daten der letzten Millisekunden (die noch im Cache waren) verloren, nicht die der letzten Stunden.<br>- Einsatzgebiet: Hochkritische Datenbanken (Banken, Börse), wo ein Datenverlust von einem Tag inakzeptabel wäre.|Vergleich: Bei einem täglichen Backup (Nachts 2 Uhr) beträgt der RPO im schlimmsten Fall 24 Stunden (Crash um 1:59 Uhr). Bei CDP sind es Sekunden.|RPO = 0 heißt: Nichts geht verloren.|Der RPO geht gegen Null (nahezu kein Datenverlust).|Der RPO steigt auf 24 Stunden.|Der RPO ist irrelevant, da CDP nur die RTO (Zeit) optimiert.|Der RPO bleibt unverändert hoch.|RPO CDP Datenverlust SLA
Bachelor Professional IT|Datenbank-Rettung|Um 14:15 Uhr führt ein Admin versehentlich ein SQL-Skript aus, das wichtige Kundendaten löscht. Das letzte Snapshot-Backup lief um 12:00 Uhr. Welchen Vorteil bietet <b>CDP</b> in dieser Situation gegenüber dem Snapshot?|Präzisions-Landung|Rückspulen|CDP ermöglicht ein <b>Point-in-Time Recovery</b> auf die Sekunde genau.<br>- Lösung: Man spult das System auf den Zustand um <b>14:14:59 Uhr</b> zurück.<br>- Vorteil: Der Datenverlust ist minimal (nur die eine Sekunde), während beim Snapshot alle Änderungen zwischen 12:00 und 14:15 Uhr (2h 15min) verloren wären.|Snapshots haben Lücken (das Delta zwischen zwei Aufnahmen). CDP schließt diese Lücken. Das ist bei Transaktionssystemen (Onlineshops) bares Geld wert.|Wie bei einem Video: Man spult genau dorthin zurück, bevor der Unfall passierte.|CDP = Zeitmaschine|Point-in-Time Recovery auf die Sekunde vor dem Fehler (14:14:59).|Man muss das Backup von 12:00 Uhr einspielen und verliert 2 Stunden Arbeit.|CDP verhindert das Löschen durch eine Firewall.|CDP kann die gelöschten Daten automatisch neu erfinden.|Szenario CDP Restore Datenbank Fehler
Bachelor Professional IT|Datensicherung|Erläutern Sie die Hierarchie und die typischen Sicherungsintervalle des Generationen-Rotationsprinzips (Großvater-Vater-Sohn).|Zeitliche Staffelung|Täglich vs. Wöchentlich vs. Monatlich|Das <b>Großvater-Vater-Sohn-Prinzip (GVS)</b> strukturiert die Datensicherung in drei Ebenen:<br>- <b>Sohn:</b> Tägliche Sicherung (oft inkrementell/differentiell).<br>- <b>Vater:</b> Wöchentliche Sicherung (Vollsicherung).<br>- <b>Großvater:</b> Monatliche Sicherung (Vollsicherung/Archivierung).|Diese Rotation ist der Standard für Langzeit-Datenverfügbarkeit. Während der 'Sohn' für operative Fehler (gelöschte Datei gestern) genutzt wird, dient der 'Großvater' dem Schutz vor schleichender Datenkorruption oder Ransomware, die erst nach Wochen bemerkt wird.|Ein Unternehmen bewahrt 4 Bänder für die Woche (Sohn), 4 Bänder für den Monat (Vater) und 12 Bänder für das Jahr (Großvater) auf.|Sohn ist jung (Tag), Vater reifer (Woche), Großvater alt (Monat).|Sohn = Täglich, Vater = Wöchentlich (Voll), Großvater = Monatlich (Voll).|Sohn = Monatlich, Vater = Wöchentlich, Großvater = Täglich.|Alle drei Generationen führen täglich ein Vollbackup durch.|Das Prinzip dient primär der Einsparung von Hardware-Anschaffungskosten.|GVS-Prinzip Datensicherung Rotation Archivierung Backup-Management
